Schema |            Name             | Type  |   Owner
--------+-----------------------------+-------+-----------
 public | AccessAuditLogs             | table | emmaadmin
 public | ActionItem                  | table | emmaadmin
 public | Address                     | table | emmaadmin
 public | AgentAssignments            | table | emmaadmin
 public | AgentPhoneNumbers           | table | emmaadmin
 public | Agents                      | table | emmaadmin
 public | Attachment                  | table | emmaadmin
 public | CallMetadata                | table | emmaadmin
 public | ContactAssignments          | table | emmaadmin
 public | ContactCollaborators        | table | emmaadmin
 public | ContactStateHistory         | table | emmaadmin
 public | ContactStates               | table | emmaadmin
 public | ContactSummaries            | table | emmaadmin
 public | Contacts                    | table | emmaadmin
 public | ConversationSummaries       | table | emmaadmin
 public | DetailedNotes               | table | emmaadmin
 public | DeviceTokens                | table | emmaadmin
 public | EmailAddresses              | table | emmaadmin
 public | EmmaAnalyses                | table | emmaadmin
 public | EmmaTask                    | table | emmaadmin
 public | Features                    | table | emmaadmin
 public | InteractionEmbeddings       | table | emmaadmin
 public | InteractionTranscriptions   | table | emmaadmin
 public | Interactions                | table | emmaadmin
 public | Messages                    | table | emmaadmin
 public | OrganizationSubscription    | table | emmaadmin
 public | Organizations               | table | emmaadmin
 public | PasswordResetTokens         | table | emmaadmin
 public | PhoneNumber                 | table | emmaadmin
 public | RelatedEntity               | table | emmaadmin
 public | ResourceRecommendations     | table | emmaadmin
 public | SubscriptionPlanFeatures    | table | emmaadmin
 public | SubscriptionPlans           | table | emmaadmin
 public | Subscriptions               | table | emmaadmin
 public | SummaryOfSummaries          | table | emmaadmin
 public | TaskItems                   | table | emmaadmin
 public | Transcriptions              | table | emmaadmin
 public | UserPhoneNumbers            | table | emmaadmin
 public | UserSubscriptionAssignments | table | emmaadmin
 public | Users                       | table | emmaadmin
 public | __EFMigrationsHistory       | table | emmaadmin
 public | test_entities               | table | emmaadmin
